app_id,name,release_date,is_free,developer,publisher,owners_range,price
3512,Amazing Adventures The Lost Tomb™ Demo,N,1,SpinTop Games,"PopCap Games, Inc.","0 .. 20,000",0.0
3520,Mystery P.I.™ - The Vegas Heist,2008-06-05,0,SpinTop Games,"PopCap Games, Inc.","20,000 .. 50,000",4.99
3522,Mystery P.I.™ - The Vegas Heist Free Demo,2008-06-05,1,SpinTop Games,"PopCap Games, Inc.","0 .. 20,000",0.0
3530,Amazing Adventures Around the World,2009-04-15,0,SpinTop Games,"PopCap Games, Inc.","20,000 .. 50,000",4.99
3532,Amazing Adventures Around the World Demo,2009-04-15,1,SpinTop Games,"PopCap Games, Inc.","0 .. 20,000",0.0
3540,Peggle™ Nights,2008-10-15,0,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts","200,000 .. 500,000",4.99
3560,Bejeweled Twist,2008-11-18,0,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts","50,000 .. 100,000",4.99
3562,Bejeweled Twist Free Demo,2008-11-18,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3570,Mystery P.I.™ - The New York Fortune,2009-01-28,0,SpinTop Games,"PopCap Games, Inc.","20,000 .. 50,000",4.99
3572,Mystery P.I.™ - The New York Fortune Demo,2009-01-28,1,SpinTop Games,"PopCap Games, Inc.","0 .. 20,000",0.0
3580,The Wizard's Pen™,2009-02-18,0,"PopCap Games, Inc.","PopCap Games, Inc.","20,000 .. 50,000",4.99
3582,The Wizard's Pen™ Free Demo,2009-02-18,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3590,Plants vs. Zombies GOTY Edition,2009-05-05,0,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts","2,000,000 .. 5,000,000",4.99
3592,Plants vs. Zombies Demo,2009-05-05,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3600,Escape Rosecliff Island,2009-04-15,0,SpinTop Games,"PopCap Games, Inc.","50,000 .. 100,000",4.99
3602,Escape Rosecliff Island Demo,2009-04-15,1,SpinTop Games,"PopCap Games, Inc.","0 .. 20,000",0.0
3610,Mystery P.I. - Lost in Los Angeles,2009-07-27,0,SpinTop Games,GoBit Games,"20,000 .. 50,000",4.99
